primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
The Shawshank Redemption,movie,1994,NA,142,Drama,9.3,2288457
The Dark Knight,movie,2008,NA,152,"Action,Crime,Drama",9,2253503
Inception,movie,2010,NA,148,"Action,Adventure,Sci-Fi",8.8,2015617
Fight Club,movie,1999,NA,139,Drama,8.8,1814835
Pulp Fiction,movie,1994,NA,154,"Crime,Drama",8.9,1787432
Forrest Gump,movie,1994,NA,142,"Drama,Romance",8.8,1763410
Game of Thrones,tvSeries,2011,2019,57,"Action,Adventure,Drama",9.3,1710184
The Matrix,movie,1999,NA,136,"Action,Sci-Fi",8.7,1639034
The Lord of the Rings: The Fellowship of the Ring,movie,2001,NA,178,"Action,Adventure,Drama",8.8,1625730
The Lord of the Rings: The Return of the King,movie,2003,NA,201,"Action,Adventure,Drama",8.9,1610024
The Dark Knight Rises,movie,2012,NA,164,"Action,Adventure",8.4,1487081
Interstellar,movie,2014,NA,169,"Adventure,Drama,Sci-Fi",8.6,1461485
The Lord of the Rings: The Two Towers,movie,2002,NA,179,"Action,Adventure,Drama",8.7,1455056
Se7en,movie,1995,NA,127,"Crime,Drama,Mystery",8.6,1408825
Gladiator,movie,2000,NA,155,"Action,Adventure,Drama",8.5,1313403
Batman Begins,movie,2005,NA,140,"Action,Adventure",8.2,1283776
The Avengers,movie,2012,NA,143,"Action,Adventure,Sci-Fi",8,1244213
The Silence of the Lambs,movie,1991,NA,118,"Crime,Drama,Thriller",8.6,1240003
Inglourious Basterds,movie,2009,NA,153,"Adventure,Drama,War",8.3,1235522
Saving Private Ryan,movie,1998,NA,169,"Drama,War",8.6,1209006
Star Wars: Episode IV - A New Hope,movie,1977,NA,121,"Action,Adventure,Fantasy",8.6,1208126
Schindler's List,movie,1993,NA,195,"Biography,Drama,History",8.9,1188214
The Departed,movie,2006,NA,151,"Crime,Drama,Thriller",8.5,1164389
The Prestige,movie,2006,NA,130,"Drama,Mystery,Sci-Fi",8.5,1161723
The Wolf of Wall Street,movie,2013,NA,180,"Biography,Crime,Drama",8.2,1148061
Star Wars: Episode V - The Empire Strikes Back,movie,1980,NA,124,"Action,Adventure,Fantasy",8.7,1136257
The Green Mile,movie,1999,NA,189,"Crime,Drama,Fantasy",8.6,1118263
Memento,movie,2000,NA,113,"Mystery,Thriller",8.4,1104184
Avatar,movie,2009,NA,162,"Action,Adventure,Fantasy",7.8,1103798
Shutter Island,movie,2010,NA,138,"Mystery,Thriller",8.2,1101520
American Beauty,movie,1999,NA,122,Drama,8.3,1052379
Back to the Future,movie,1985,NA,116,"Adventure,Comedy,Sci-Fi",8.5,1032553
Guardians of the Galaxy,movie,2014,NA,121,"Action,Adventure,Comedy",8,1026473
Titanic,movie,1997,NA,194,"Drama,Romance",7.8,1026337
American History X,movie,1998,NA,119,Drama,8.5,1017486
V for Vendetta,movie,2005,NA,132,"Action,Drama,Sci-Fi",8.2,1013026
Léon: The Professional,movie,1994,NA,110,"Action,Crime,Drama",8.5,1012081
Pirates of the Caribbean: The Curse of the Black Pearl,movie,2003,NA,143,"Action,Adventure,Fantasy",8,1003346
