"id_harp_rosca","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
102,0,1,30,0,1,0,340,1
102,1,1,29,0,1,0,80,1
102,1,1,40,0,1,0,0,1
102,0,1,44,0,1,0,100,1
102,0,1,22,0,1,0,NA,0
102,1,0,35,0,1,0,510,1
102,1,0,45,0,1,0,NA,0
102,1,0,28,0,1,0,60,1
105,1,1,45,0,1,0,1140,1
105,1,1,42,0,1,0,0,1
105,0,1,48,0,1,0,100,1
105,1,1,25,0,1,0,33,1
105,1,1,25,0,1,0,940,1
105,1,1,28,0,1,0,850,1
105,1,0,40,0,1,0,290,1
105,1,1,37,0,1,0,40,1
115,1,1,45,0,0,1,120,1
115,1,1,30,0,0,1,1300,1
115,1,0,40,0,0,1,100,1
115,1,0,48,0,0,1,0,1
115,1,1,40,0,0,1,640,1
123,1,1,52,0,0,1,800,1
123,0,1,33,0,0,1,1560,1
123,1,1,47,0,0,1,96,1
123,1,0,42,0,0,1,470,1
123,1,0,55,0,0,1,60,1
123,1,0,40,0,0,1,100,1
133,1,0,24,0,0,1,550,1
133,1,1,20,0,0,1,NA,0
133,1,1,50,0,0,1,220,1
138,0,1,51,0,0,1,40,1
138,0,1,46,0,0,1,60,1
138,1,1,40,0,0,1,80,1
138,1,0,17,0,0,1,NA,0
138,0,1,68,0,0,1,0,1
138,1,1,33,0,0,1,NA,0
138,1,1,38,0,0,1,NA,0
138,1,1,68,0,0,1,0,1
138,1,1,46,0,0,1,40,1
139,0,1,48,1,0,0,110,1
139,0,0,32,1,0,0,0,1
139,0,1,35,1,0,0,93,1
139,1,1,47,1,0,0,20,1
139,1,1,35,1,0,0,80,1
139,0,1,56,1,0,0,1399,1
161,0,1,33,1,0,0,0,1
161,0,1,24,1,0,0,125,1
161,1,1,24,1,0,0,225,1
161,1,1,48,1,0,0,105,1
161,1,0,30,1,0,0,40,1
164,0,1,48,0,0,1,440,1
164,1,0,63,0,0,1,500,1
164,0,1,35,0,0,1,40,1
164,1,0,62,0,0,1,700,1
164,0,1,56,0,0,1,770,1
164,1,1,45,0,0,1,0,1
164,0,1,34,0,0,1,0,1
164,1,1,40,0,0,1,720,1
168,1,1,52,0,0,1,0,1
168,1,1,45,0,0,1,900,1
168,1,1,45,0,0,1,40,1
168,1,1,40,0,0,1,0,1
168,1,1,35,0,0,1,0,1
168,1,1,23,0,0,1,700,1
168,1,1,23,0,0,1,60,1
168,1,1,23,0,0,1,470,1
168,1,1,30,0,0,1,520,1
168,0,1,41,0,0,1,300,1
169,1,1,21,0,1,0,993,1
180,1,0,32,1,0,0,180,1
180,1,0,34,1,0,0,300,1
180,1,1,43,1,0,0,60,1
180,1,1,34,1,0,0,20,1
180,1,0,38,1,0,0,725,1
180,1,1,38,1,0,0,0,1
180,1,1,39,1,0,0,120,1
180,1,1,38,1,0,0,20,1
182,1,1,32,0,0,1,560,1
182,1,1,28,0,0,1,840,1
182,1,1,27,0,0,1,63,1
182,1,1,25,0,0,1,880,1
190,1,1,26,0,1,0,500,1
190,1,1,38,0,1,0,1430,1
190,1,1,38,0,1,0,350,1
190,1,1,26,0,1,0,640,1
190,0,1,36,0,1,0,0,1
190,1,1,30,0,1,0,420,1
190,1,1,30,0,1,0,850,1
190,1,0,25,0,1,0,0,1
190,1,1,45,0,1,0,700,1
191,1,0,30,0,1,0,1075,1
191,1,0,52,0,1,0,40,1
191,1,0,55,0,1,0,60,1
191,1,0,40,0,1,0,490,1
191,1,0,63,0,1,0,60,1
191,1,0,50,0,1,0,630,1
191,0,0,50,0,1,0,80,1
191,1,0,70,0,1,0,70,1
193,1,1,25,0,1,0,790,1
193,0,1,44,0,1,0,150,1
193,0,1,42,0,1,0,1180,1
193,0,1,26,0,1,0,NA,0
193,0,1,28,0,1,0,NA,0
193,1,0,49,0,1,0,40,1
